年齢【歳】	勤続年数【年】	所定内実労働時間数【時間】	超過実労働時間数【時間】	きまって支給する現金給与額【千円】	所定内給与額【千円】	年間賞与その他特別給与額【千円】	労働者数【十人】	code	label	year	salary	working_time
41.6	16.3	160	6	304.5	293.3	954	22585	Q	複合サービス業	2012	4608	166
42.5	18.6	155	10	389.1	367.5	1038.2	5357	Q86	郵便局	2012	5707.4	165
41.4	15.6	162	5	278.2	270.2	927.9	17228	Q87	協同組合（他に分類されないもの）	2012	4266.3	167
42.8	8	164	14	269.6	245.4	450	179101	R	サービス業（他に分類されないもの）	2012	3685.2	178
44.7	9.5	175	10	290.5	272.1	477.9	13251	R88	廃棄物処理業	2012	3963.9	185
42.5	14	174	14	290.6	265.4	548.8	6631	R89	自動車整備業	2012	4036	188
41.3	14.3	160	20	356.4	311.3	1121.5	11962	R90	機械等修理業(別掲を除く)	2012	5398.3	180
38.5	4	159	14	241.7	218.2	152.9	46599	R91	職業紹介・労働者派遣業	2012	3053.3	173
44.6	7.7	165	15	258.6	234.4	425.1	87834	R92	その他の事業サービス業	2012	3528.3	180
45.3	13.4	158	7	349.9	334.9	1079.3	8898	R93	政治・経済・文化団体	2012	5278.1	165
46.6	14.1	168	3	301.2	293.1	827.8	3031	R94	宗教	2012	4442.2	171
43.4	11.4	163	10	274.9	257.4	706.7	895	R95	その他のサービス業	2012	4005.5	173
41.5	11.9	166	13	323.8	296.8	823.7	1952213	T1	産業計	2011	4709.3	179
46.7	14.1	170	11	323.5	302.7	993.9	1282	C	鉱業，採石業，砂利採取業	2011	4875.9	181
43.9	13.9	171	13	338.9	313.3	681.8	123610	D	建設業	2011	4748.6	184
44.7	13.4	171	10	339.6	319.1	607.8	62811	D06	総合工事業	2011	4683	181
43.5	11.9	176	14	302.8	278.8	289.2	14852	D07	職別工事業（設備工事業を除く）	2011	3922.8	190
42.7	15.2	169	16	349.5	316.6	910	45947	D08	設備工事業	2011	5104	185
41.6	14.2	166	15	322.1	289.1	892.1	551988	E	製造業	2011	4757.3	181
42.8	10.8	170	15	249.3	224.3	508.4	61969	E09	食料品製造業	2011	3500	185
42.1	13.8	166	13	326	298.6	854.9	6698	E10	飲料・たばこ・飼料製造業	2011	4766.9	179
43.6	13	170	9	237.7	223.9	351.5	20863	E11	繊維工業	2011	3203.9	179
43	11.4	176	12	255	234.5	414.1	5902	E12	木材・木製品製造業(家具を除く)	2011	3474.1	188
43.1	13.3	170	12	273.6	254.9	383.6	5233	E13	家具・装備品製造業	2011	3666.8	182
42	14.1	165	14	302.8	271.1	805.7	14720	E14	パルプ・紙・紙加工品製造業	2011	4439.3	179
41.7	14	168	19	310.9	274	566.2	22294	E15	印刷・同関連業	2011	4297	187
41.7	16	161	11	379.4	349.2	1431.1	32371	E16	化学工業	2011	5983.9	172
41.5	14.5	159	16	421.6	364.6	1241.3	1293	E17	石油製品・石炭製品製造業	2011	6300.5	175
41.4	12.8	168	14	296.7	266.9	734.5	23383	E18	プラスチック製品製造業(別掲を除く)	2011	4294.9	182
40.9	14.2	162	17	324.6	281.4	928.6	8976	E19	ゴム製品製造業	2011	4823.8	179
44.3	12.7	170	8	237.1	226.4	292.9	1021	E20	なめし革・同製品・毛皮製造業	2011	3138.1	178
43.9	14.1	168	13	308.9	283.1	740.2	15283	E21	窯業・土石製品製造業	2011	4447	181
41.2	15.3	164	18	347.7	303.3	1101.5	18052	E22	鉄鋼業	2011	5273.9	182
41.4	14.9	164	17	346.7	303.3	992.7	10783	E23	非鉄金属製造業	2011	5153.1	181
41.9	13	169	14	291.7	264.4	654.7	37390	E24	金属製品製造業	2011	4155.1	183
41.2	14.5	168	20	346.8	304.2	976.8	24083	E25	はん用機械器具製造業	2011	5138.4	188
41.7	14.8	169	19	339.3	302.5	813.9	31974	E26	生産用機械器具製造業	2011	4885.5	188
41.3	14.4	165	15	364.5	331.6	1064.1	22861	E27	業務用機械器具製造業	2011	5438.1	180
40.6	14.8	164	16	340	304.6	957.4	39185	E28	電子部品・デバイス・電子回路製造業	2011	5037.4	180
41.6	15.7	164	16	349.3	313.9	1091.7	43352	E29	電気機械器具製造業	2011	5283.3	180
41.5	16.6	163	14	385.2	350.7	1255.4	17551	E30	情報通信機械器具製造業	2011	5877.8	177
40.2	15.3	163	17	346.3	304.8	1180.6	75862	E31	輸送用機械器具製造業	2011	5336.2	180
42.4	13.9	169	11	300.1	279.6	779.3	10890	E32	その他の製造業	2011	4380.5	180
40.6	18.9	156	16	456	400.5	1680.1	14930	F	電気・ガス・熱供給・水道業	2011	7152.1	172
40.4	20	156	17	482.9	419.1	1737.6	11155	F33	電気業	2011	7532.4	173
39.6	17	157	11	399.5	364	1717	2734	F34	ガス業	2011	6511	168
45	13.5	157	9	357	329.7	1178	83	F35	熱供給業	2011	5462	166
45.1	12.1	164	8	312.9	294.6	950.5	959	F36	水道業	2011	4705.3	172
38.1	11.4	156	15	411.6	378.4	1159.4	87055	G	情報通信業	2011	6098.6	171
40.1	13.7	158	12	395.6	366.2	1172.5	7613	G37	通信業	2011	5919.7	170
39.8	13.3	159	14	475.1	435.4	1980.4	4222	G38	放送業	2011	7681.6	173
37.6	11.1	156	15	402.8	370.3	1143.1	57937	G39	情報サービス業	2011	5976.7	171
32.6	3.8	155	14	363.1	333	635	4192	G40	インターネット附随サービス業	2011	4992.2	169
40.1	13.5	156	16	455.1	417.1	1126.6	13092	G41	映像・音声・文字情報制作業	2011	6587.8	172
45.6	11.7	170	26	300.3	257.8	528.9	152779	H	運輸業，郵便業	2011	4132.5	196
40.3	19	155	13	383.2	340.4	1526.3	13765	H42	鉄道業	2011	6124.7	168
53	10.7	171	25	255.8	215.2	341.2	35204	H43	道路旅客運送業	2011	3410.8	196
44.6	10.8	176	33	297	249.8	366.5	76640	H44	道路貨物運送業	2011	3930.5	209
43.2	13.4	163	12	350.7	327.1	916.3	1111	H45	水運業	2011	5124.7	175
40.1	14.9	155	5	495.3	475.6	773.8	2222	H46	航空運輸業	2011	6717.4	160
42.5	11.8	167	19	311.8	279.1	659.6	6050	H47	倉庫業	2011	4401.2	186
41.3	11.1	163	19	306	269.8	705.7	15656	H48	運輸に附帯するサービス業	2011	4377.7	182
42.5	14.3	157	8	318.9	299	903.7	2130	H49	郵便業（信書便事業を含む）	2011	4730.5	165
40.3	12.2	169	9	304.4	289	744.2	281986	I	卸売業，小売業	2011	4397	178
41.4	13.2	168	8	331.6	316.7	908.6	147728	I50〜55	卸売業	2011	4887.8	176
42.3	16.1	160	9	479	454.5	2262.6	2676	I50	各種商品卸売業	2011	8010.6	169
40.1	11.9	169	4	291.6	285	713	11406	I51	繊維・衣服等卸売業	2011	4212.2	173
42.4	11.8	170	11	284.9	268.4	564.4	26919	I52	飲食料品卸売業	2011	3983.2	181
41.9	12.9	174	7	326.4	313.4	795.3	24935	I53	建築材料，鉱物・金属材料等卸売業	2011	4712.1	181
40.7	13.8	167	9	346	328.2	1006.2	45505	I54	機械器具卸売業	2011	5158.2	176
