year	sex	age	age_label	general_manager	manager	chief_clerk	foreman	non_title	regular	non_regular	total_worker	general_manager_ratio	manager_ratio	chief_clerk_ratio	foreman_ratio	non_title_ratio	regular_ratio	non_regular_ratio	regular_total_ratio	non_regular_total_ratio	pop_worker	employed	unemployed
2010	F	40	40〜44歳	171	1155	2003	203	31415	53649	16140	69789	5.463258786	5.567069938	10.97233635	4.679575841	31.31822668	23.71614363	65.93137255	21.40027843	6.438153439	71.6	68.3	4.6
2010	F	45	45〜49歳	253	1442	2106	151	27428	49897	16484	66381	3.284861075	6.412023656	16.31167222	4.592457421	34.24604512	24.98685482	70.53185572	22.36891654	7.38980741	75.8	72.7	4
2010	F	50	50〜54歳	387	1128	1703	164	24143	44529	14848	59377	3.282442748	6.188281764	18.44670711	6.602254428	34.74512852	24.96118121	65.65553836	22.15284964	7.386770676	72.8	70.2	3.2
2010	F	55	55〜59歳	339	1079	818	106	21647	39237	16056	55293	3.284883721	8.58529599	12.54601227	6.495098039	30.48014644	23.48677122	56.81528662	20.0885726	8.220356338	63.3	61.2	3.2
2010	F	60	60〜64歳	200	217	119	9	8079	16996	12835	29831	12.21001221	18.86956522	26.5625	11.39240506	36.18488825	26.14849688	27.92645779	15.31750753	11.56743993	45.7	44.2	3.5
2010	F	65	65〜69歳	48	53	4		1461	3642	2527	6169	17.91044776	58.24175824	16.66666667	0	36.28912072	27.34644842	23.55298723	15.14534038	10.50858735	27.4	26.9	1.7
2010	F	70	70歳〜		1	1		335	1286	712	1998	0	3.846153846	100	0	36.37350706	31.51960784	29.77833542	19.87328079	11.00293618	8.4	8.4	1
2013	M	15	〜19歳			2	3	7442	10891	1463	12354			100	100	64.69616622	64.52396469	49.72807614	62.32783412	7.381060491	15.5	14.2	6.3
2013	M	20	20〜24歳	15	28	100	54	55263	74874	11433	86307	100	71.79487179	72.99270073	90	56.40808411	53.90263919	44.11900903	52.36439752	6.936658173	67.7	62.4	7.9
2013	M	25	25〜29歳	23	216	867	924	100374	139971	20302	160273	92	80.8988764	62.41900648	97.6744186	62.9963661	62.05075917	51.98310076	60.56493973	7.671843706	93.8	87.2	7
2013	M	30	30〜34歳	232	1738	6231	2787	96474	164020	17720	181740	95.8677686	86.55378486	83.26874248	95.70741758	67.80573517	70.0338598	48.50940349	67.12961253	6.545266502	95.6	91.3	4.6
2013	M	35	35〜39歳	1027	7422	15244	4406	100049	203773	15423	219196	95.09259259	91.03397522	86.45644283	96.81388706	68.82795248	73.39970679	42.3127572	69.79186235	4.910673064	96.5	92.9	3.8
2013	M	40	40〜44歳	2840	20310	17430	4520	89280	211773	13100	224873	95.97837107	93.65057408	86.94134078	95.05783386	67.37655555	74.78309079	37.11573877	70.60864487	4.113313949	96.3	92.8	3.6
2013	M	45	45〜49歳	8284	22537	12664	3274	67012	177578	12097	189675	95.39382773	91.44283048	84.93628437	93.14366999	66.12134548	74.50366691	35.59197364	69.64742083	4.441939369	96.2	92.9	3.5
2013	M	50	50〜54歳	12112	18815	9347	2166	54210	154661	11532	166193	94.63978747	90.90250266	84.13141314	90.62761506	65.67167795	74.70102396	36.44868675	69.63034033	4.831593898	95.3	92.2	3.3
